SMA_120,SMA_60
3053.3392500000027,3035.2588333333333
3052.898666666669,3034.6896666666667
3052.5117500000024,3034.1205
3052.569666666669,3034.2363333333337
3052.301166666669,3033.9683333333337
3051.872583333336,3033.6080000000006
3051.433916666668,3033.1110000000003
3051.0190833333345,3032.6746666666672
3050.652333333334,3032.4245
3050.2314166666674,3032.057
3049.887583333334,3031.8651666666656
3049.5784166666667,3031.618499999998
3049.2650000000003,3031.371833333332
3048.7939166666674,3030.894333333331
3048.444166666667,3030.7031666666644
3048.052666666667,3030.511999999997
3047.632166666667,3030.370333333331
3047.212583333333,3030.2286666666646
3046.78675,3030.0958333333315
3046.3739166666664,3029.983666666665
3045.9727500000004,3029.718499999998
3045.4703333333327,3029.3039999999987
3044.954916666666,3028.9128333333324
3044.4215833333333,3028.6283333333326
3044.009583333333,3028.6671666666657
3043.508499999999,3028.508
3043.008666666666,3028.3598333333325
3042.508833333333,3028.2116666666657
3042.009,3028.091666666666
3041.335333333333,3027.623999999999
3040.788833333333,3027.3298333333328
3040.2250833333323,3026.9971666666665
3039.706166666666,3026.681833333333
3039.196583333333,3026.4108333333334
3038.65475,3026.0753333333337
3038.153,3025.7883333333343
3037.6713333333323,3025.501333333334
3037.181833333332,3025.1986666666667
3036.5941666666663,3024.5665
3036.0937499999995,3023.989833333333
3035.6114999999995,3023.4178333333334
3035.129249999999,3022.976666666667
3034.646999999999,3022.586
3034.225583333333,3022.357000000001
3033.740166666666,3022.0118333333344
3033.3189999999986,3021.868333333334
3032.831416666666,3021.596
3032.3951666666662,3021.307
3031.9691666666654,3020.940666666667
3031.558749999999,3020.6138333333333
3031.137083333332,3020.2645
3030.647416666666,3019.822
3030.1384166666658,3019.487
3029.6608333333324,3019.1828333333337
3029.362416666666,3019.237000000001
3029.016416666665,3019.196000000001
3028.6494166666653,3019.0911666666675
3028.407083333332,3019.2356666666683
3028.044416666665,3019.1225000000018
3027.710749999998,3019.0243333333347
3027.3770833333306,3018.9261666666685
3027.0434166666632,3018.8280000000013
3026.59158333333,3018.493500000002
3026.2035833333307,3018.078166666668
3025.8155833333312,3017.738833333336
3025.503749999998,3017.4496666666687
3025.1357499999986,3017.160500000003
3024.712333333332,3016.7500000000023
3024.3719166666656,3016.373500000002
3024.022666666666,3015.9883333333355
3023.808833333332,3015.752500000002
3023.527333333332,3015.4361666666687
3023.245833333332,3015.2775000000024
3022.9349999999977,3014.975666666669
3022.654416666664,3014.605666666669
3022.4158333333303,3014.319666666669
3022.192999999997,3014.015666666669
3021.970166666664,3013.711666666669
3021.7473333333305,3013.3858333333355
3021.469333333331,3012.9550000000027
3021.277083333331,3012.910333333335
3021.0200833333315,3012.7361666666684
3020.7122499999978,3012.5116666666686
3020.4831666666646,3012.2166666666685
3020.2944166666643,3011.932666666669
3020.0151666666648,3011.522333333335
3019.7606666666647,3011.161500000001
3019.515083333332,3010.8185000000017
3019.280833333332,3010.643833333335
3019.0465833333315,3010.469333333335
3018.812333333332,3010.312166666669
3018.576083333332,3010.155000000002
3018.339833333332,3009.9756666666685
3018.103583333332,3009.8175000000024
3017.9138333333326,3009.752333333336
3017.73775,3009.6871666666693
3017.561666666666,3009.6220000000026
3017.3855833333323,3009.6790000000024
3017.1512499999994,3009.736000000002
3016.891416666666,3009.793000000002
3016.6315833333333,3009.845333333335
3016.437166666666,3009.897666666669
3016.2175,3009.788166666668
3016.05325,3009.816333333334
3015.9230833333336,3009.772166666667
3015.798166666667,3009.747333333333
3015.67525,3009.7545
3015.534333333334,3009.7724999999987
3015.365583333334,3009.767999999998
3015.188666666668,3009.763499999998
3014.980916666668,3009.733999999998
3014.684166666668,3009.5839999999976
3014.506666666668,3009.5263333333305
3014.518750000001,3009.6754999999976
3014.463166666668,3009.647333333331
3014.393166666668,3009.590333333331
3014.3122500000013,3009.408666666664
3014.2168333333343,3009.2559999999967
3014.0777500000017,3009.0329999999976
3014.037083333335,3009.0498333333308
3013.9475833333354,3008.9689999999982
3013.858083333336,3009.0063333333314
3013.796833333336,3009.100166666665
3013.651416666669,3009.224666666666
3013.5340000000024,3009.329166666665
3013.559833333336,3009.669999999999
3013.526583333337,3009.9366666666665
3013.504500000003,3010.259
3013.4993333333364,3010.629499999998
3013.4775833333365,3010.8863333333325
3013.4659166666697,3011.1793333333326
3013.4542500000034,3011.472333333332
3013.5214166666706,3011.7653333333324
3013.5885833333377,3012.2043333333327
3013.6132500000044,3012.6208333333325
3013.755083333337,3013.190499999999
3013.8293333333368,3013.642999999999
3013.807250000004,3013.9028333333326
3013.8290833333367,3014.324833333332
3013.954750000003,3014.824999999999
3014.042166666669,3015.173999999999
3014.1414166666696,3015.5974999999994
3014.266333333336,3016.021
3014.330583333336,3016.4445
3014.301666666669,3016.7338333333337
3014.324583333336,3017.133666666667
3014.3462500000023,3017.5255
3014.367916666669,3017.9173333333333
3014.476500000002,3018.3091666666664
3014.585166666669,3018.701
3014.7025000000017,3019.092833333333
3014.819833333335,3019.4846666666663
3014.9063333333343,3019.8369999999995
3015.016250000001,3020.2149999999992
3015.167666666668,3020.582999999999
3015.292083333335,3020.896999999999
3015.416500000002,3021.2109999999984
3015.6020000000017,3021.5249999999987
3015.787500000002,3021.838999999998
3015.9730000000027,3022.152999999998
3016.156166666669,3022.466999999998
3016.339333333336,3022.831499999998
3016.492083333336,3023.185833333331
3016.678250000002,3023.5401666666644
3016.833333333336,3023.8944999999976
3016.9980833333348,3024.248833333331
3017.1788333333348,3024.6031666666645
3017.365000000002,3024.9574999999973
3017.6305833333345,3025.4931666666644
3017.911083333334,3026.085166666665
3018.1933333333345,3026.744999999998
3018.474750000001,3027.3654999999985
3018.766000000001,3027.812666666665
3019.041833333334,3028.3793333333324
3019.261416666668,3028.8754999999987
3019.5556666666675,3029.520999999999
3019.758666666668,3030.1086666666656
3019.997916666668,3030.7749999999987
3020.239916666668,3031.344499999999
3020.4785833333344,3031.907333333332
3020.701750000001,3032.4344999999985
3020.9095833333345,3032.812833333332
3021.158916666668,3033.197666666665
3021.4035000000013,3033.5823333333315
3021.6480833333344,3033.848833333331
3021.892666666668,3034.1153333333305
3022.159250000001,3034.375833333331
3022.512666666668,3034.773499999998
3022.865250000001,3035.121166666665
3023.1775833333345,3035.468833333332
3023.497916666668,3035.8164999999985
3023.833083333334,3036.193833333332
3024.1608333333343,3036.556333333332
3024.5615833333345,3036.918833333332
3024.9510833333343,3037.1641666666646
3025.301833333334,3037.4131666666653
3025.651666666667,3037.7566666666658
3026.0015000000003,3038.0934999999995
3026.377583333334,3038.3231666666666
3026.7025,3038.603666666667
3027.027416666667,3038.8808333333336
3027.377750000001,3039.1580000000004
3027.769916666667,3039.518833333333
3028.1830000000004,3040.0201666666667
3028.627666666667,3040.519
3029.075750000001,3041.017833333332
3029.521083333333,3041.516666666665
3029.916750000001,3041.9161666666664
3030.256916666667,3042.2046666666656
3030.6372500000007,3042.573499999999
3031.0175833333337,3042.9423333333325
3031.3979166666672,3043.3281666666658
3031.7782500000008,3043.719499999999
3032.1585833333343,3044.0606666666654
3032.4924166666674,3044.4018333333315
3032.728083333334,3044.559166666666
3033.012833333333,3044.814666666666
3033.297583333333,3045.0701666666664
3033.582333333333,3045.3256666666666
3033.867083333332,3045.581166666668
3034.1223333333323,3045.777666666668
3034.4059999999995,3045.9805000000006
